12
0,wake up,manditory,Thu Jun 13 2019 09:30:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 09:30:00 GMT+0100 (British Summer Time),00:00,1560387837241
1,teeth,manditory,Thu Jun 13 2019 10:00:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 10:20:00 GMT+0100 (British Summer Time),00:20,1560387837246
2,job application,good,Thu Jun 13 2019 11:40:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 12:10:00 GMT+0100 (British Summer Time),00:30,1560387837257
3,shower,manditory,Thu Jun 13 2019 10:20:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 10:35:00 GMT+0100 (British Summer Time),00:15,1560387837249
4,dog walk,manditory,Thu Jun 13 2019 10:35:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 11:05:00 GMT+0100 (British Summer Time),00:30,1560387837251
5,chores,manditory,Thu Jun 13 2019 11:05:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 11:25:00 GMT+0100 (British Summer Time),00:20,1560387837254
6,mb,bad,Thu Jun 13 2019 12:10:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 12:25:00 GMT+0100 (British Summer Time),00:15,1560387837259
7,read,good,Thu Jun 13 2019 12:25:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 12:55:00 GMT+0100 (British Summer Time),00:30,1560387837261
8,unity learning,good,Thu Jun 13 2019 13:15:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 14:15:00 GMT+0100 (British Summer Time),01:00,1560387837263
9,job application,good,Thu Jun 13 2019 14:20:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 14:50:00 GMT+0100 (British Summer Time),00:30,1560387837267
10,administration,manditory,Thu Jun 13 2019 14:55:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 15:15:00 GMT+0100 (British Summer Time),00:20,1560387837270
11,dog walk,good,Thu Jun 13 2019 15:30:00 GMT+0100 (British Summer Time),Thu Jun 13 2019 16:00:00 GMT+0100 (British Summer Time),00:30,1560387837273
