9
0,dog walk,manditory,Tue Jun 04 2019 13:40:00 GMT+0100 (BST),Tue Jun 04 2019 14:10:00 GMT+0100 (BST),0:30,1559650613950
1,CV,good,Tue Jun 04 2019 14:10:00 GMT+0100 (BST),Tue Jun 04 2019 14:55:00 GMT+0100 (BST),0:45,1559650788427
2,job applications,good,Tue Jun 04 2019 14:55:00 GMT+0100 (BST),Tue Jun 04 2019 15:40:00 GMT+0100 (BST),0:45,1559650834272
3,break,bad,Tue Jun 04 2019 15:40:00 GMT+0100 (BST),Tue Jun 04 2019 16:10:00 GMT+0100 (BST),0:30,1559650848500
4,workout,good,Tue Jun 04 2019 16:10:00 GMT+0100 (BST),Tue Jun 04 2019 17:10:00 GMT+0100 (BST),1:0,1559650873138
5,shower,manditory,Tue Jun 04 2019 17:10:00 GMT+0100 (BST),Tue Jun 04 2019 17:30:00 GMT+0100 (BST),0:20,1559651016808
6,dog walk,manditory,Tue Jun 04 2019 17:30:00 GMT+0100 (BST),Tue Jun 04 2019 18:00:00 GMT+0100 (BST),0:30,1559651028306
7,break,bad,Tue Jun 04 2019 18:00:00 GMT+0100 (BST),Tue Jun 04 2019 18:45:00 GMT+0100 (BST),0:45,1559651052871
8,programming,good,Tue Jun 04 2019 18:45:00 GMT+0100 (BST),Tue Jun 04 2019 20:45:00 GMT+0100 (BST),2:0,1559651069533
