10
0,teeth,manditory,Fri Jun 14 2019 09:50:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 10:05:00 GMT+0100 (British Summer Time),00:15,1560502335932
1,mb,manditory,Fri Jun 14 2019 10:05:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 10:20:00 GMT+0100 (British Summer Time),00:15,1560502335935
2,dog walk,manditory,Fri Jun 14 2019 10:20:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 10:50:00 GMT+0100 (British Summer Time),00:30,1560502335937
3,shower,manditory,Fri Jun 14 2019 11:00:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 11:20:00 GMT+0100 (British Summer Time),00:20,1560502335938
4,job application,good,Fri Jun 14 2019 11:30:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 11:50:00 GMT+0100 (British Summer Time),00:20,1560502335940
5,unity learning,good,Fri Jun 14 2019 14:10:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 15:10:00 GMT+0100 (British Summer Time),01:00,1560502335942
6,break,bad,Fri Jun 14 2019 15:15:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 15:45:00 GMT+0100 (British Summer Time),00:30,1560502335944
7,programming,good,Fri Jun 14 2019 12:00:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 14:00:00 GMT+0100 (British Summer Time),02:00,1560502335941
8,job application,good,Fri Jun 14 2019 15:50:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 16:20:00 GMT+0100 (British Summer Time),00:30,1560502335945
9,android learning,good,Fri Jun 14 2019 16:30:00 GMT+0100 (British Summer Time),Fri Jun 14 2019 17:30:00 GMT+0100 (British Summer Time),01:00,1560502335946
