5
0,teeth,manditory,Sun Jun 09 2019 23:37:00 GMT+0100 (British Summer Time),Sun Jun 09 2019 23:52:00 GMT+0100 (British Summer Time),00:15,1560033467137
1,workout,good,Sun Jun 09 2019 00:00:00 GMT+0100 (British Summer Time),Sun Jun 09 2019 00:30:00 GMT+0100 (British Summer Time),00:30,1560033467141
2,read,good,Sun Jun 09 2019 00:35:00 GMT+0100 (British Summer Time),Sun Jun 09 2019 00:55:00 GMT+0100 (British Summer Time),00:20,1560033467144
3,pokemon,bad,Sun Jun 09 2019 01:00:00 GMT+0100 (British Summer Time),Sun Jun 09 2019 01:15:00 GMT+0100 (British Summer Time),00:15,1560033467152
4,go to sleep,manditory,Sun Jun 09 2019 01:20:00 GMT+0100 (British Summer Time),Sun Jun 09 2019 01:20:00 GMT+0100 (British Summer Time),00:00,1560033467157
